lemmas,onerilen_konular
"['hediye', 'dünya', 'limit', 'kaldır', 'sinir', 'boz', 'insan', 'sil', 'puan', 'iste', 'kadar', 'lazım', 'sadece', 'kere', 'lütfen', 'kaldır', 'yok', 'kaldır']","['lütfen kaldır', 'hediye dünya', 'limit kaldır', 'yok kaldır', 'dünya limit']"
"['puan', 'sebep', 'yorum', 'üste', 'çık', 'indirmeyinindirtmeyinkimlik', 'doğrula', 'kadar', 'saçma', 'yok', 'doğrula', 'anla', 'böyle']","['sebep yorum', 'puan sebep', 'yorum üste', 'saçma yok', 'yorum']"
"['son', 'zaman', 'sürekli', 'hata', 'dur', 'gerçekten', 'yarın', 'sabah', 'itibari', 'iptal', 'müşteri', 'hizmet', 'bağla', 'tam', 'saat', 'bekle', 'telefon', 'gerçekten', 'gerek', 'kısa', 'süre', 'operatör', 'bile', 'değiş']","['iptal müşteri', 'itibari iptal', 'bekle telefon', 'telefon gerçekten', 'telefon']"
"['berbat', 'hayat', 'böyle', 'para', 'kes', 'para', 'koparan', 'gör', 'kendi', 'kendi', 'site', 'abone', 'fatura', 'iken', 'şua', 'kop', 'abone', 'şey', 'para', 'üst', 'üst', 'lira', 'aynı', 'neden', 'sil', 'sil', 'rağmen', 'aynı', 'para', 'kopar']","['abone fatura', 'para üst', 'böyle para', 'şey para', 'abone şey']"
"['dünya', 'kötü', 'saat', 'asla', 'öner', 'kimse', 'artık', 'online', 'alışveriş', 'gönder', 'para', 'başka', 'kart', 'aktar', 'tam', 'rezil', 'yazık']","['online alışveriş', 'alışveriş gönder', 'kart aktar', 'alışveriş', 'gönder para']"
"['gerek', 'yok', 'pek', 'fayda', 'gör']","['gerek yok', 'fayda gör', 'yok pek', 'pek fayda', 'yok']"
"['böyle', 'boz', 'sakın', 'yükle', 'hata', 'kart', 'var', 'para', 'yük', ""i̇nternet'ten"", 'alışveriş', 'çalış', 'efendi', 'kimlik', 'doğrula', 'gerek', 'eskiden', 'iyi', 'şimdi', 'boz', 'zaten', 'kimlik', 'doğrula', 'nbc', 'gerekiyormuşta', 'cihaz', 'yok', 'böyle', 'rezil', 'para', 'yükle', 'kart', 'acil', 'düzel', 'lütfen', 'yok', 'aycell', 'sil', 'aycell', 'eski', 'hal', 'getir']","['hata kart', 'yükle kart', 'kimlik doğrula', 'gerekiyormuşta cihaz', 'kart acil']"
"['bugün', 'kart', 'yükle', 'yükle', 'san', 'işlem', 'hallet', 'neden', 'türlü', 'değil', 'böyle', 'çocuk', 'git', 'zor', 'git', 'üstelik', 'kredi', 'kart', 'bak', 'çek']","['kredi kart', 'kart yükle', 'bugün kart', 'üstelik kredi', 'kredi']"
"['paycelden', 'uzak', 'dur', 'mağdur', 'tel', 'numara', 'yaş', 'altı', 'üye', 'hesap', 'bloke', 'koy', 'hat', 'adım', 'kayıt', 'kendi', 'kullan', 'defalarca', 'yaz', 'hesap', 'sil', 'doğrula', 'veli', 'onay', 'iste', 'bul', 'bil', 'veli', 'anla', 'asla', 'mağdur', 'iste', 'sil', 'siz']","['hesap bloke', 'mağdur tel', 'üye hesap', 'mağdur iste', 'dur mağdur']"
"['uzun', 'zaman', 'kullan', 'ancak', 'ihtiyaç', 'hal', 'maalesef', 'hala', 'ayni', 'eksik', 'devam', 'kampanya', 'var', 'kullandikca', 'puan', 'kazan', 'tamam', 'puan', 'birik', 'sekil', 'kullan', 'kullanım', 'teklif', 'sadece', 'fatura', 'hat', 'yükle', 'hitap', 'aycell', 'ayrıca', 'bura', 'birik', 'puan', 'bura', 'kullan', 'hak', 'hak', 'tanimiyorsunuz', 'onca', 'birik', 'puan', 'boşuna']","['kampanya var', 'devam kampanya', 'kampanya', 'eksik devam', 'puan birik']"
